,groups,channels,windows,amplitudes
0,BND,fz,win_1,-3.619
1,BND,fz,win_1,-1.205
2,BND,fz,win_1,1.028
3,BND,fz,win_1,1.763
4,BND,fz,win_1,4.325
5,BND,fz,win_1,3.452
6,BND,fz,win_1,3.338
7,BND,fz,win_1,-0.091
8,BND,fz,win_1,1.49
9,BND,fz,win_1,4.619
10,BND,fz,win_1,4.002
11,BND,fz,win_1,0.184
12,BND,fz,win_1,0.284
13,BND,cz,win_1,-1.298
14,BND,cz,win_1,-3.536
15,BND,cz,win_1,1.356
16,BND,cz,win_1,-0.551
17,BND,cz,win_1,1.133
18,BND,cz,win_1,2.601
19,BND,cz,win_1,0.294
20,BND,cz,win_1,-1.098
21,BND,cz,win_1,-0.693
22,BND,cz,win_1,1.743
23,BND,cz,win_1,3.719
24,BND,cz,win_1,-0.001
25,BND,cz,win_1,0.281
26,BND,pz,win_1,0.877
27,BND,pz,win_1,-3.444
28,BND,pz,win_1,1.653
29,BND,pz,win_1,-0.625
30,BND,pz,win_1,0.934
31,BND,pz,win_1,0.054
32,BND,pz,win_1,1.549
33,BND,pz,win_1,-0.564
34,BND,pz,win_1,0.13
35,BND,pz,win_1,0.476
36,BND,pz,win_1,1.989
37,BND,pz,win_1,1.702
38,BND,pz,win_1,-0.089
39,BND,fz,win_2,1.13
40,BND,fz,win_2,1.04
41,BND,fz,win_2,1.636
42,BND,fz,win_2,-1.185
43,BND,fz,win_2,3.791
44,BND,fz,win_2,2.175
45,BND,fz,win_2,5.43
46,BND,fz,win_2,-1.469
47,BND,fz,win_2,3.794
48,BND,fz,win_2,2.24
49,BND,fz,win_2,4.914
50,BND,fz,win_2,-2.369
51,BND,fz,win_2,-0.361
52,BND,cz,win_2,-3.221
53,BND,cz,win_2,0.282
54,BND,cz,win_2,0.918
55,BND,cz,win_2,-3.558
56,BND,cz,win_2,0.816
57,BND,cz,win_2,0.768
58,BND,cz,win_2,2.307
59,BND,cz,win_2,-3.927
60,BND,cz,win_2,-1.089
61,BND,cz,win_2,-0.373
62,BND,cz,win_2,2.395
63,BND,cz,win_2,-1.759
64,BND,cz,win_2,-0.565
65,BND,pz,win_2,-2.436
66,BND,pz,win_2,0.482
67,BND,pz,win_2,1.63
68,BND,pz,win_2,-2.91
69,BND,pz,win_2,0.113
70,BND,pz,win_2,-1.302
71,BND,pz,win_2,0.743
72,BND,pz,win_2,-1.311
73,BND,pz,win_2,0.638
74,BND,pz,win_2,0.511
75,BND,pz,win_2,1.758
76,BND,pz,win_2,0.521
77,BND,pz,win_2,1.542
78,BND,fz,win_3,4.458
79,BND,fz,win_3,-2.783
80,BND,fz,win_3,4.037
81,BND,fz,win_3,-0.768
82,BND,fz,win_3,6.298
83,BND,fz,win_3,3.085
84,BND,fz,win_3,4.075
85,BND,fz,win_3,-0.626
86,BND,fz,win_3,7.812
87,BND,fz,win_3,3.677
88,BND,fz,win_3,2.802
89,BND,fz,win_3,0.288
90,BND,fz,win_3,-1.599
91,BND,cz,win_3,-0.929
92,BND,cz,win_3,-2.284
93,BND,cz,win_3,3.294
94,BND,cz,win_3,-0.931
95,BND,cz,win_3,4.42
96,BND,cz,win_3,0.802
97,BND,cz,win_3,-0.182
98,BND,cz,win_3,-3.774
99,BND,cz,win_3,0.97
100,BND,cz,win_3,-0.721
101,BND,cz,win_3,1.921
102,BND,cz,win_3,2.243
103,BND,cz,win_3,-1.56
104,BND,pz,win_3,1.074
105,BND,pz,win_3,-1.471
106,BND,pz,win_3,3.886
107,BND,pz,win_3,-1.228
108,BND,pz,win_3,2.1
109,BND,pz,win_3,-2.001
110,BND,pz,win_3,-0.217
111,BND,pz,win_3,-1.9
112,BND,pz,win_3,2.872
113,BND,pz,win_3,-0.463
114,BND,pz,win_3,1.999
115,BND,pz,win_3,4.636
116,BND,pz,win_3,-0.521
117,BMIDMOD,fz,win_1,6.574
