,groups,channels,windows,amplitudes
0,BND,fz,win_1,1.244
1,BND,fz,win_1,0.083
2,BND,fz,win_1,-1.332
3,BND,fz,win_1,-0.289
4,BND,fz,win_1,-4.058
5,BND,fz,win_1,-2.814
6,BND,fz,win_1,-4.384
7,BND,fz,win_1,0.78
8,BND,fz,win_1,-2.642
9,BND,fz,win_1,-3.429
10,BND,fz,win_1,-4.458
11,BND,fz,win_1,1.093
12,BND,fz,win_1,0.039
13,BND,cz,win_1,2.26
14,BND,cz,win_1,1.627
15,BND,cz,win_1,-1.137
16,BND,cz,win_1,2.054
17,BND,cz,win_1,-0.975
18,BND,cz,win_1,-1.684
19,BND,cz,win_1,-1.3
20,BND,cz,win_1,2.512
21,BND,cz,win_1,0.891
22,BND,cz,win_1,-0.685
23,BND,cz,win_1,-3.057
24,BND,cz,win_1,0.88
25,BND,cz,win_1,0.142
26,BND,pz,win_1,0.779
27,BND,pz,win_1,1.481
28,BND,pz,win_1,-1.642
29,BND,pz,win_1,1.767
30,BND,pz,win_1,-0.524
31,BND,pz,win_1,0.624
32,BND,pz,win_1,-1.146
33,BND,pz,win_1,0.937
34,BND,pz,win_1,-0.384
35,BND,pz,win_1,-0.494
36,BND,pz,win_1,-1.874
37,BND,pz,win_1,-1.111
38,BND,pz,win_1,-0.727
39,BND,fz,win_2,-3.926
40,BND,fz,win_2,2.75
41,BND,fz,win_2,0.254
42,BND,fz,win_2,2.283
43,BND,fz,win_2,-4.032
44,BND,fz,win_2,0.125
45,BND,fz,win_2,-2.958
46,BND,fz,win_2,4.823
47,BND,fz,win_2,-4.702
48,BND,fz,win_2,-0.727
49,BND,fz,win_2,2.484
50,BND,fz,win_2,2.778
51,BND,fz,win_2,2.46
52,BND,cz,win_2,-0.279
53,BND,cz,win_2,1.152
54,BND,cz,win_2,0.309
55,BND,cz,win_2,2.237
56,BND,cz,win_2,-2.289
57,BND,cz,win_2,2.31
58,BND,cz,win_2,1.326
59,BND,cz,win_2,7.695
60,BND,cz,win_2,0.623
61,BND,cz,win_2,2.683
62,BND,cz,win_2,0.951
63,BND,cz,win_2,0.394
64,BND,cz,win_2,2.888
65,BND,pz,win_2,-0.614
66,BND,pz,win_2,0.478
67,BND,pz,win_2,-2.23
68,BND,pz,win_2,1.038
69,BND,pz,win_2,-0.285
70,BND,pz,win_2,3.623
71,BND,pz,win_2,0.774
72,BND,pz,win_2,3.224
73,BND,pz,win_2,-2.008
74,BND,pz,win_2,0.542
75,BND,pz,win_2,-1.769
76,BND,pz,win_2,-3.025
77,BND,pz,win_2,0.426
78,BND,fz,win_3,-0.445
79,BND,fz,win_3,4.452
80,BND,fz,win_3,-0.298
81,BND,fz,win_3,-4.637
82,BND,fz,win_3,1.652
83,BND,fz,win_3,2.327
84,BND,fz,win_3,0.511
85,BND,fz,win_3,4.124
86,BND,fz,win_3,-0.26
87,BND,fz,win_3,0.924
88,BND,fz,win_3,4.621
89,BND,fz,win_3,7.411
90,BND,fz,win_3,3.41
91,BND,cz,win_3,-7.106
92,BND,cz,win_3,1.731
93,BND,cz,win_3,0.027
94,BND,cz,win_3,-1.458
95,BND,cz,win_3,3.118
96,BND,cz,win_3,1.523
97,BND,cz,win_3,2.246
98,BND,cz,win_3,5.847
99,BND,cz,win_3,3.585
100,BND,cz,win_3,4.415
101,BND,cz,win_3,2.586
102,BND,cz,win_3,7.123
103,BND,cz,win_3,4.061
104,BND,pz,win_3,-2.087
105,BND,pz,win_3,-0.405
106,BND,pz,win_3,-1.347
107,BND,pz,win_3,-2.248
108,BND,pz,win_3,4.189
109,BND,pz,win_3,1.435
110,BND,pz,win_3,-0.046
111,BND,pz,win_3,3.542
112,BND,pz,win_3,-0.588
113,BND,pz,win_3,3.12
114,BND,pz,win_3,-0.62
115,BND,pz,win_3,2.138
116,BND,pz,win_3,3.105
117,BMIDMOD,fz,win_1,-6.474
118,BMIDMOD,fz,win_1,4.904
119,BMIDMOD,fz,win_1,-10.69
120,BMIDMOD,fz,win_1,-2.981
121,BMIDMOD,fz,win_1,2.056
122,BMIDMOD,fz,win_1,3.697
123,BMIDMOD,fz,win_1,-0.042
124,BMIDMOD,fz,win_1,-3.697
125,BMIDMOD,fz,win_1,-3.399
126,BMIDMOD,fz,win_1,-1.18
127,BMIDMOD,fz,win_1,0.347
128,BMIDMOD,fz,win_1,-2.545
129,BMIDMOD,fz,win_1,-0.142
130,BMIDMOD,fz,win_1,3.812
131,BMIDMOD,fz,win_1,-2.482
132,BMIDMOD,fz,win_1,1.546
133,BMIDMOD,fz,win_1,-1.991
134,BMIDMOD,cz,win_1,-3.144
135,BMIDMOD,cz,win_1,0.955
136,BMIDMOD,cz,win_1,-7.423
137,BMIDMOD,cz,win_1,-0.055
138,BMIDMOD,cz,win_1,2.57
139,BMIDMOD,cz,win_1,0.316
140,BMIDMOD,cz,win_1,1.564
141,BMIDMOD,cz,win_1,-2.484
142,BMIDMOD,cz,win_1,-6.694
143,BMIDMOD,cz,win_1,-0.869
144,BMIDMOD,cz,win_1,0.928
145,BMIDMOD,cz,win_1,-2.004
146,BMIDMOD,cz,win_1,-1.605
147,BMIDMOD,cz,win_1,1.363
148,BMIDMOD,cz,win_1,-1.275
149,BMIDMOD,cz,win_1,1.571
150,BMIDMOD,cz,win_1,-1.372
151,BMIDMOD,pz,win_1,-5.378
152,BMIDMOD,pz,win_1,-1.693
153,BMIDMOD,pz,win_1,-8.099
154,BMIDMOD,pz,win_1,0.046
155,BMIDMOD,pz,win_1,-2.028
156,BMIDMOD,pz,win_1,-1.925
157,BMIDMOD,pz,win_1,0.095
158,BMIDMOD,pz,win_1,-1.315
159,BMIDMOD,pz,win_1,-5.865
160,BMIDMOD,pz,win_1,-0.862
161,BMIDMOD,pz,win_1,-0.484
162,BMIDMOD,pz,win_1,-1.449
163,BMIDMOD,pz,win_1,-3.994
164,BMIDMOD,pz,win_1,-2.886
165,BMIDMOD,pz,win_1,-1.485
166,BMIDMOD,pz,win_1,2.278
167,BMIDMOD,pz,win_1,-0.448
168,BMIDMOD,fz,win_2,4.773
